%time,field.x,field.y,field.z
1456328968859817981,-2.06255510449e-05,-2.32119634748e-05,1.26727387309e-05
1456328968880291938,-2.06591680646e-05,-2.30645567179e-05,1.29023581743e-05
1456328968900362014,-2.06333145499e-05,-2.31164455414e-05,1.26392707229e-05
1456328968920622110,-2.07301512361e-05,-2.305868119e-05,1.27577513456e-05
1456328968941720962,-2.07058295608e-05,-2.32033729553e-05,1.27120509744e-05
1456328968961987018,-2.06183835864e-05,-2.30902060866e-05,1.27910077572e-05
1456328968982213973,-2.06571415067e-05,-2.30848029256e-05,1.26146331429e-05
1456328969002296924,-2.07218229771e-05,-2.3147380352e-05,1.27111122012e-05
1456328969022536039,-2.06898152828e-05,-2.30673879385e-05,1.27101570368e-05
1456328969042588949,-2.05620616674e-05,-2.32428967953e-05,1.27456516027e-05
1456328969062807083,-2.06577599049e-05,-2.30755060911e-05,1.27025023103e-05
1456328969082951068,-2.06013634801e-05,-2.30363354087e-05,1.26463145018e-05
1456328969103113889,-2.0617428422e-05,-2.31082096696e-05,1.26552626491e-05
1456328969123213052,-2.06974878907e-05,-2.31720849872e-05,1.2663641572e-05
1456328969143421888,-2.06338211894e-05,-2.31073826551e-05,1.27111420035e-05
1456328969164396047,-2.06823453307e-05,-2.32663050294e-05,1.27851545811e-05
1456328969184621095,-2.0625884831e-05,-2.31712594628e-05,1.27201408148e-05
1456328969204797029,-2.06249117851e-05,-2.3029281199e-05,1.25820353627e-05
1456328969224868059,-2.07538172603e-05,-2.30993852019e-05,1.27101793885e-05
1456328969245052099,-2.07215890288e-05,-2.30678603053e-05,1.26779362559e-05
1456328969265233039,-2.06573754549e-05,-2.31643214822e-05,1.26478075981e-05
1456328969285500049,-2.06729754806e-05,-2.31091544032e-05,1.25908762217e-05
1456328969305531978,-2.0721526444e-05,-2.30199843645e-05,1.26692309976e-05
1456328969326318025,-2.05453753471e-05,-2.31323257089e-05,1.26481249928e-05
1456328969346803903,-2.06888705492e-05,-2.31973797083e-05,1.25760644674e-05
1456328969366938114,-2.06179410219e-05,-2.31631413102e-05,1.27280786633e-05
1456328969387190103,-2.08009883761e-05,-2.32691377401e-05,1.25923350453e-05
1456328969407505035,-2.06253737211e-05,-2.31323257089e-05,1.26475602388e-05
1456328969427547931,-2.06814333797e-05,-2.31802031398e-05,1.26558750868e-05
1456328969450503110,-2.07219973207e-05,-2.32030197978e-05,1.27359360456e-05
1456328969470783948,-2.06820741296e-05,-2.33788833022e-05,1.27468124032e-05
1456328969490912914,-2.05617263913e-05,-2.32516035438e-05,1.26977756619e-05
1456328969511069059,-2.07621067762e-05,-2.3170787096e-05,1.27511799335e-05
1456328969531342029,-2.06179395318e-05,-2.3155143857e-05,1.27279609442e-05
1456328969551525115,-2.05463409424e-05,-2.31943115592e-05,1.27850517631e-05
1456328969571300029,-2.06429094076e-05,-2.32891216874e-05,1.28657802939e-05
1456328969592900037,-2.05622822046e-05,-2.31864318252e-05,1.27768218517e-05
1456328969613472938,-2.06900477409e-05,-2.31469079852e-05,1.27433329821e-05
1456328969634984970,-2.05314159393e-05,-2.32320666313e-05,1.2937733531e-05
1456328969654958963,-2.07866176963e-05,-2.32177197933e-05,1.28237098455e-05
1456328969674966096,-2.05551937222e-05,-2.32805326581e-05,1.29062771797e-05
1456328969695060014,-2.06669136882e-05,-2.33291164041e-05,1.28662005067e-05
1456328969715647935,-2.05791413784e-05,-2.3320646584e-05,1.28986984491e-05
1456328969735752105,-2.06032529473e-05,-2.33204111457e-05,1.29145279527e-05
1456328969755872964,-2.06036433578e-05,-2.32875883579e-05,1.29700481892e-05
1456328969776000976,-2.06350192428e-05,-2.32488900423e-05,1.28812432289e-05
1456328969796080112,-2.0555254817e-05,-2.33204111457e-05,1.2914866209e-05
1456328969816263914,-2.05554842949e-05,-2.33679324389e-05,1.29475697875e-05
1456328969837378978,-2.0562915504e-05,-2.33051195741e-05,1.28665804863e-05
1456328969857212066,-2.06425264478e-05,-2.33779385686e-05,1.28110855818e-05
